chembl_id;organism;canonical_smiles;AUC /ng.hr.mL-1
CHEMBL62865;Rattus norvegicus;CCCCCCC/N=C(\S)c1cccnc1S;8250.0
CHEMBL62811;Rattus norvegicus;O=C1CCc2cc(-c3cccnc3)ccc2N1;1753.0
CHEMBL62802;Rattus norvegicus;CCOC(=O)CCNC(=O)N1CCC2(CC1)CCN(c1ccc(C(=N)NO)cc1)C2=O;565.1
CHEMBL6273;Mus musculus;CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1;23000.0
CHEMBL62625;Mus musculus;CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(CC(C)=O)CC3)cc21;22010.0
CHEMBL62444;Rattus norvegicus;CC(C)(C)[C@H]1CC[C@H](N(Cc2ccc(C(=O)NCCC(=O)O)cc2)C(=O)Nc2ccc(OC(F)(F)F)cc2)CC1;217.42
CHEMBL62159;Rattus norvegicus;Cc1cc(C)c(NC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(C#N)c1C;373400.0
CHEMBL62136;Mus musculus;O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1;3421.0
CHEMBL62019;Rattus norvegicus;CCCS(=O)(=O)c1cc(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl;5900.0
CHEMBL61832;Rattus norvegicus;O=C(O)CCC(CCCSSCCCC(CCC(=O)O)C(=O)O)C(=O)O;190.0
CHEMBL61322;Rattus norvegicus;CC/N=C(\S)c1cccnc1S;15800.0
CHEMBL611339;Rattus norvegicus;CC(C)[C@H](C(=O)Nc1ncc(Cl)s1)c1ccc(Cl)cc1;249000.0
CHEMBL610333;Mus musculus;CC(C)(C)[C@H](C(=O)Nc1ncc(Cl)s1)c1ccc(Cl)cc1;4550000.0
CHEMBL610208;Rattus norvegicus;COc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1-c1c(Cl)cnn1C;478.0
CHEMBL609583;Rattus norvegicus;O=C(NO)c1cnc(N2CCN(S(=O)(=O)c3ccc4ccccc4c3)CC2)nc1;3381.0
CHEMBL609097;Rattus norvegicus;CCN(CC)CC.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CNS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1O;5066.67
CHEMBL608844;Rattus norvegicus;CCN(CC)CC.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1O;8650.0
CHEMBL60778;Mus musculus;CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C(C)C(C)=O)CC3)cc21;5710.0
CHEMBL607315;Rattus norvegicus;CC(C)(C)[C@H](C(=O)Nc1ncc(-c2ccccc2)s1)c1ccc(Cl)cc1;1670000.0
CHEMBL606964;Mus musculus;COc1ccc(N2Cc3cnc(Nc4ccc(F)cc4)nc3N([C@@H]3CC[C@@H](O)C3)C2=O)cc1;40901.0
CHEMBL606805;Mus musculus;CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N\OCCN;2000.0
CHEMBL605921;Rattus norvegicus;N#Cc1c(-c2ccc(Oc3ccccc3)cc2)ccn2c(CC(F)(F)F)cnc12;714.0
CHEMBL605730;Rattus norvegicus;CS(=O)(=O)c1cccc(Oc2cccc(-n3c(C(F)(F)F)nc4c(C(F)(F)F)cccc43)c2)c1;14338.0
CHEMBL605417;Rattus norvegicus;COc1ccc([C@@H](CC(=O)N[C@@H](CC(C)C)B(O)O)NC(=O)c2ccccc2)cc1;933.0
CHEMBL605412;Mus musculus;O=C(NCC(O)c1cccnc1)c1ccc(N2CCC3(CCc4c(cccc4C(F)(F)F)O3)CC2)nn1;13000.0
CHEMBL605408;Rattus norvegicus;COC(=O)NCCO[C@@H](c1cccc(Cl)c1)[C@@H]1CCCN(C(=O)N[C@H](CN)CC2CCCCC2)C1;201.0
CHEMBL605314;Mus musculus;Cc1nc2c(C(F)(F)F)cccn2c1-c1cccc(Oc2cccc(S(C)(=O)=O)c2)c1;4667.0
CHEMBL605162;Rattus norvegicus;O=C(O)CC1CC2(CCN(C(=O)NC3C4CC5CC(C4)CC3C5)CC2)c2c(Br)cccc21;1718.0
CHEMBL604871;Mus musculus;Cc1ccccc1C(=O)C1CCN(c2ccc(C(=O)NCC(O)c3cccnc3)nn2)CC1;7800.0
