chembl_id;organism;canonical_smiles;PPB /%
CHEMBL4092687;Mus musculus;COc1ccc(NC(=N)NCCCOc2ccc(F)cc2)cc1;82.1
CHEMBL4092633;Mus musculus;CC(=O)O[C@H]1C[C@H]2[C@H]([C@@H]3CC[C@H]([C@H](C)CCCNCCCCNc4ccnc5cc(Cl)ccc45)[C@@]13C)[C@H](OC(C)=O)C[C@@H]1C[C@H](N)CC[C@@]12C;99.0
CHEMBL4092287;Rattus norvegicus;C[C@H]1[C@H](F)C[C@@H](C(=O)NCc2cc(-c3cnc(C(F)(F)F)nc3)ncc2F)N1S(=O)(=O)c1ccc(F)cc1;97.2
CHEMBL4092205;Rattus norvegicus;O=C(O)CCn1c(=O)oc2cc(Cl)c(Cl)cc21;91.7
CHEMBL4092058;Rattus norvegicus;NC(=O)c1cncc(-c2nc(NCc3ccccn3)c3c(-c4ccccc4)cccc3n2)c1;99.5
CHEMBL4091152;Rattus norvegicus;C[C@@H](Oc1cc2onc(CCC(=O)O)c2cc1Cl)c1ccccn1;97.8
CHEMBL4090858;Rattus norvegicus;Nc1ncnc2c1c(Sc1cccc(Cl)c1)nn2CC1CCNCC1;87.5
CHEMBL4090635;Rattus norvegicus;CCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C[C@@H](NC(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)C[C@H]1C(=O)O;41.7
CHEMBL4090593;Rattus norvegicus;O=C(NC1CCCCCC1)c1cc2c(Cl)cc(Cl)cc2[nH]1;99.2
CHEMBL4090472;Mus musculus;CN1Cc2cc(-c3ccc(-c4cncc(NS(=O)(=O)c5ccc(F)cc5F)c4)s3)ccc2C1=O;99.89
CHEMBL4090058;Mus musculus;Cc1c(C#Cc2cnc(N)nc2)cccc1C(=O)Nc1ccc(CN2CCN(C)CC2)c(C(F)(F)F)c1;98.4
CHEMBL408962;Rattus norvegicus;CN(C)C(=O)C(=O)N(C)[C@H]1CCCCn2c1nc(C(=O)NCc1ccc(F)cc1)c(O)c2=O;81.0
CHEMBL4088737;Rattus norvegicus;CC(C)c1cc(C(=O)N2CC[C@@H](NC(=O)C3CC3)C2)[nH]n1;37.6
CHEMBL4088534;Rattus norvegicus;Nc1ncnc2c1c(Sc1cccc(Cl)c1)nn2CC1CCNCC1(F)F;91.8
CHEMBL4088036;Rattus norvegicus;CCCCc1cc(OC2CCN(CCCCNS(=O)(=O)CC)CC2)c2ncccc2c1.Cl.Cl;97.9
CHEMBL4087915;Mus musculus;CC(C)(C)n1nc(Oc2cccc(Cl)c2)c2c(N)ncnc21;99.8
CHEMBL4087666;Mus musculus;Cc1ccc(NC(=O)c2ccc3c(c2)OCCO3)cc1NC(=O)c1ccc2nc(OCCN3CCCC3)ccc2c1;99.0
CHEMBL4087439;Mus musculus;CCNC(=O)Nc1cc2c(-c3ccnc(C)c3)ccc(COC(=O)N3CCN(C)CC3)c2cn1;94.8
CHEMBL4086264;Rattus norvegicus;CC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C[C@@H](NC(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)C[C@H]1C(=O)O;87.1
CHEMBL4086174;Mus musculus;CCc1ccc(-c2noc(C(F)(F)F)c2COc2c(F)cc(CCC(=O)O)cc2F)cc1;99.89
CHEMBL4085979;Rattus norvegicus;CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)CCNCCNc2cc3c(=O)c(C(=O)O)cn(C4CC4)c3cc2Cl)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC/C=C/c2cnc3ccccc3c2)C[C@@H](C)NC(=O)[C@H](C)[C@@H](O)[C@]1(C)O;70.0
CHEMBL4085721;Rattus norvegicus;O=C(Cn1c(-c2cccs2)cc2ccccc21)NCc1ccccn1;99.1
CHEMBL4085497;Rattus norvegicus;Cc1[nH]c(-c2cccc3ccccc23)cc1C(=O)N1CCC(CO)CC1;92.5
CHEMBL408480;Rattus norvegicus;CN(C(=O)CS(=O)(=O)N(C)C)C1CCCn2c1nc(C(=O)NCc1ccc(F)cc1)c(O)c2=O;81.0
CHEMBL408479;Rattus norvegicus;CN(C)S(=O)(=O)N(C)[C@@H]1CCCn2c1nc(C(=O)NCc1ccc(F)cc1)c(O)c2=O;81.0
CHEMBL4084304;Rattus norvegicus;CC(=O)Nc1ccc(-c2nc(NCc3ccccn3)c3c(-c4ccccc4)cccc3n2)cn1;99.5
CHEMBL4084182;Mus musculus;N=C(NCCCOc1ccc(F)cc1)Nc1ccc(Cl)cc1;88.8
CHEMBL4083851;Mus musculus;N#Cc1ccc(-c2cccc3ncnn23)cc1;71.3
CHEMBL4083572;Mus musculus;Cc1cc(-c2cnn(C)c2)cc(C2CCN(C(=O)c3cc(C(C)C)n[nH]3)C2)n1;95.7
CHEMBL4083370;Rattus norvegicus;O=C(O)CCn1c(=O)oc2cc(OCC3CC3)c(Cl)cc21;90.2
CHEMBL4082779;Rattus norvegicus;O=S(=O)(c1cccc(Nc2nc(-c3cncnc3)nc3cccc(-c4ccccc4)c23)c1)N1CCOCC1;99.5
CHEMBL4082756;Mus musculus;Cc1cc(-n2nc(Cc3cc(F)cc(C(F)(F)F)c3)nc2C)ccc1C(N)=O;80.1
CHEMBL4082644;Mus musculus;O=C1NCc2ccc(-c3ccc(-c4cncc(NS(=O)(=O)c5ccc(F)cc5F)c4)s3)cc21;99.97
CHEMBL4082473;Rattus norvegicus;COc1ccc2c(c1)c(CN1CCN(C)CC1)cn2S(=O)(=O)c1ccccc1Br.CS(=O)(=O)O.O;99.0
CHEMBL4082403;Mus musculus;CS(=O)(=O)N1CCC(C(O)(c2cncnc2Nc2ccc(F)cc2)C(F)(F)F)CC1;81.5
CHEMBL4081917;Rattus norvegicus;Cc1ccc([C@@H](C)Oc2cc3onc(CCC(=O)O)c3cc2Cl)nn1;93.3
CHEMBL4081863;Rattus norvegicus;Cc1nc(-c2cccc3ccccc23)sc1C(=O)N1CCC(CO)CC1;99.6
CHEMBL4081861;Mus musculus;CC(=O)Nc1cc(-c2ccc(C#N)cc2C)n2ncnc2c1;51.4
CHEMBL4081247;Rattus norvegicus;CCn1nc(-c2cccc3cccnc23)cc1-c1ccc(N)nn1;92.1
CHEMBL4080995;Mus musculus;O=C(O)CCc1cc(F)c(OCc2c(-c3ccccc3)noc2C(F)(F)F)c(F)c1;98.78
CHEMBL4080863;Rattus norvegicus;Cc1ccc([C@@H](C)Oc2cc3onc(CCC(=O)O)c3cc2Cl)nc1;99.1
CHEMBL4080797;Mus musculus;COc1ccc(-c2cc3c(N[C@@H]4CC[C@](C)(N)C4(C)C)c(C(N)=O)cnn3c2)cn1;93.0
CHEMBL4080667;Mus musculus;O=C(CC1(c2ccccc2)C2CC3CC1CC(C2)C3O)N1CC(O)C1;63.0
CHEMBL4080310;Rattus norvegicus;O=C(Cn1c(-c2ncco2)cc2ccccc21)NCc1nc2ccccc2[nH]1;98.2
CHEMBL4079880;Mus musculus;CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4ccncc4F)cc23)CC[C@]1(C)N;78.0
CHEMBL4079746;Rattus norvegicus;N#CCN1CCC(n2c(=O)cnc3cnc4ccc(-c5ccc(N)nc5)cc4c32)CC1;60.1
CHEMBL4079239;Rattus norvegicus;C[C@@H]1c2nnn(-c3ncc(F)cn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl;87.8
CHEMBL4079206;Mus musculus;CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(/C=C/c4c(Cl)cccc4Cl)oc23)[C@H](O)C1;97.2
CHEMBL4079058;Rattus norvegicus;O=C(Cn1c(-c2cccs2)cc2ccccc21)NCc1nc2ccccc2[nH]1;99.9
CHEMBL4078293;Rattus norvegicus;O=[N+]([O-])c1cn2c(n1)OC[C@H](Oc1ccc(OC(F)(F)F)cc1)C2;86.7
CHEMBL4078126;Rattus norvegicus;CCNC(=O)Nc1cc2c(-c3ccnc(C)c3)ccc(CNC(=O)OC)c2cn1;96.5
CHEMBL4078112;Rattus norvegicus;CCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C[C@@H](NC(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)C[C@H]1C(=O)O;98.5
CHEMBL4077195;Mus musculus;O=C(Nc1cccnc1)c1cc(C(F)(F)F)ccc1OCc1ccc(F)cc1;99.6
CHEMBL4076947;Mus musculus;Cc1cc(Nc2nccc3nc(-c4c(Cl)cc(C#N)cc4Cl)[nH]c23)ncn1;96.6
