chembl_id;organism;canonical_smiles;Vdss /L.kg-1
CHEMBL609583;Rattus norvegicus;O=C(NO)c1cnc(N2CCN(S(=O)(=O)c3ccc4ccccc4c3)CC2)nc1;0.6
CHEMBL607315;Rattus norvegicus;CC(C)(C)[C@H](C(=O)Nc1ncc(-c2ccccc2)s1)c1ccc(Cl)cc1;2.7
CHEMBL606964;Mus musculus;COc1ccc(N2Cc3cnc(Nc4ccc(F)cc4)nc3N([C@@H]3CC[C@@H](O)C3)C2=O)cc1;3.7
CHEMBL606917;Rattus norvegicus;CC(C)(C)CCC(CCC(F)(F)F)N1CCC(F)(F)[C@H](CC(=O)O)[C@H]1c1ccc(C(F)(F)F)cc1;1.9
CHEMBL606408;Rattus norvegicus;CCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(N3CCOCC3)cc(-c3ccccc3)n2)CC1;3.4
CHEMBL605408;Rattus norvegicus;COC(=O)NCCO[C@@H](c1cccc(Cl)c1)[C@@H]1CCCN(C(=O)N[C@H](CN)CC2CCCCC2)C1;51.0
CHEMBL605294;Rattus norvegicus;CN[C@@H](C)c1ccc(N2CC[C@H](NS(=O)(=O)c3ccc4cc(Cl)ccc4c3)C2=O)c(F)c1;3.3
CHEMBL604710;Rattus norvegicus;O=C(CC(c1ccccc1)c1ccccc1)N1CCN(C(c2ccccc2)c2ccccc2)CC1;9.868
CHEMBL603144;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(N3CCC(N4CCCC4)CC3)cc(-c3ccccc3)n2)CC1;7.3
CHEMBL602483;Rattus norvegicus;O[C@@H](CN1c2cccc(-c3cccc(OC(F)(F)F)c3)c2OC[C@@H]1c1cccc(OC(F)(F)C(F)F)c1)C(F)(F)F;0.73
CHEMBL602468;Rattus norvegicus;CCC(NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc1ccc(-c2ccccc2C(=O)O)cc1)c1ccccc1;17.0
CHEMBL602337;Rattus norvegicus;CC(C)CC(NC(=O)c1cc(COc2ccccc2)ccc1CCC(=O)O)c1ccccc1;2.2
CHEMBL602070;Rattus norvegicus;CC1=C(C(=O)N2CCC[C@H]2c2ccc(F)cc2)[C@@H](c2ccc(Cl)c(Cl)c2)n2nccc2N1;1.6
CHEMBL601907;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(N3CCC(C(=O)N4CCCC4)CC3)cc(-c3ccccc3)n2)CC1;0.5
CHEMBL601906;Rattus norvegicus;CCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(N3CCC(C(=O)N4CCCC4)CC3)cc(-c3ccccc3)n2)CC1;0.7
CHEMBL601905;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(N3CCC(C(=O)N4CCC4)CC3)cc(-c3ccccc3)n2)CC1;0.2
CHEMBL601903;Rattus norvegicus;CCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(N3CCC(C(=O)N(CC)CC)CC3)cc(-c3ccccc3)n2)CC1;0.9
CHEMBL601696;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(N3CCC(C(=O)NCC)CC3)cc(-c3ccccc3)n2)CC1;0.3
CHEMBL601693;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(N3CCC(CCN(C)C)CC3)cc(-c3ccccc3)n2)CC1;5.1
CHEMBL601500;Rattus norvegicus;Cc1ccccc1CN(c1ccc(C#N)c(Cl)c1)[C@H]1CCN(S(C)(=O)=O)C1;12.0
CHEMBL601273;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(N3CCCC(CN4CCCC4)C3)cc(-c3ccccc3)n2)CC1;1.8
CHEMBL600928;Rattus norvegicus;CCOC(=O)C1=C(C)N/C(=C/c2cc(C)n(-c3ccccc3C(F)(F)F)c2C)C1=O;13.0
CHEMBL600369;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(OCC3CCN(CCOC)CC3)cc(-c3ccccc3)n2)CC1;10.9
CHEMBL600056;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(C(=O)N3CCC(N(C)C)CC3)cc(-c3ccccc3)n2)CC1;0.77
CHEMBL600055;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(C(=O)N3CCC(OC)CC3)cc(-c3ccccc3)n2)CC1;1.2
CHEMBL600002;Mus musculus;CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc([C@@](C)(NCc2ccc3ncccc3c2)C(C)C)nn1;4.2
CHEMBL599605;Rattus norvegicus;CCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cccc(-c3ccccc3)n2)CC1;15.5
CHEMBL599589;Rattus norvegicus;O=C(c1ccc(Cn2cnc3ccccc32)cc1)N1CC[C@H](N2CCCC2)C1;3.6
CHEMBL599422;Rattus norvegicus;CCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(N3CCCCC3)cc(-c3ccccc3)n2)CC1;1.3
CHEMBL598608;Mus musculus;O=C(NCCS(=O)(=O)c1ccc(C(F)(F)F)cn1)c1ccc(Cl)cc1;1.7
CHEMBL598194;Rattus norvegicus;NC1(C(=O)NCc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1;2.8
CHEMBL598145;Rattus norvegicus;Cc1c(Cc2ccc(F)c(C(=O)N3CCC4(CCCN4)CC3)c2)n[nH]c(=O)c1C;6.7
CHEMBL597997;Mus musculus;Cc1sc(C)c(C(=O)NC2(c3ccc(C(=O)O)cc3)CC2)c1Cc1ccc(C(F)(F)F)cc1;2.6
CHEMBL597772;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(NCCO)cc(-c3ccccc3)n2)CC1;3.9
CHEMBL597754;Mus musculus;CNC(=O)c1nn(C)c2c1CCc1cnc(NC3CCN(C(=O)C4CCN(S(C)(=O)=O)CC4)CC3)nc1-2;1.39
CHEMBL597375;Rattus norvegicus;Cc1cc(C)cc(C(CC(C)C)NC(=O)c2cc(COc3cc(F)ccc3F)ccc2CCC(=O)O)c1;1.43
CHEMBL597302;Rattus norvegicus;CC(C)CC[C@H](c1ncc(C(F)(F)F)cn1)N1CC[C@@H](CC(=O)[O-])C[C@H]1c1ccc(C(F)(F)F)cc1.[Na+];3.0
CHEMBL597226;Rattus norvegicus;CC(C)CC[C@H](c1ccc(C(F)(F)F)nc1)N1CC[C@@H](CC(=O)[O-])C[C@H]1c1ccc(C(F)(F)F)cc1.[Na+];2.3
CHEMBL597146;Rattus norvegicus;Cc1cc(C)cc(C(CC(C)C)NC(=O)c2cc(COc3cccc(F)c3)ccc2CCC(=O)O)c1;1.32
CHEMBL596903;Rattus norvegicus;CC(C)CC(NC(=O)c1cc(COc2ccccc2)ccc1CCC(=O)O)c1cccc2ccccc12;0.8
CHEMBL596750;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(O)cc(-c3ccccc3)n2)CC1;29.0
CHEMBL596401;Rattus norvegicus;CCC(C)(C)C(=O)Nc1cc(C)c(C)c(S(=O)(=O)N2CCOCC2)c1;2.5
CHEMBL595910;Rattus norvegicus;O=C(NO)c1cnc(N2CCN(C(/C=C/c3ccccc3)CO)CC2)nc1;5.8
CHEMBL595707;Rattus norvegicus;CC(c1ccc(N2CC[C@H](NS(=O)(=O)c3cc4ccc(Cl)cc4s3)C2=O)c(F)c1)N(C)C;0.52
CHEMBL595477;Rattus norvegicus;C[C@@H](c1ccc(N2CC[C@H](NS(=O)(=O)/C=C/c3ccc(Cl)s3)C2=O)c(F)c1)N(C)C;0.53
CHEMBL594671;Rattus norvegicus;CC(C)[C@H](C(=O)Nc1nccs1)c1ccc(Cl)cc1;7.0
CHEMBL594598;Rattus norvegicus;C[C@@H](c1ccc(N2CC[C@H](NS(=O)(=O)c3ccc4cc(Cl)ccc4c3)C2=O)c(F)c1)N(C)C;1.8
CHEMBL594544;Rattus norvegicus;O=C(NO)c1cnc(N2CCN(C(/C=C/c3ccc(F)cc3)CO)CC2)nc1;1.6
CHEMBL594525;Rattus norvegicus;CC(C)[C@H](C(=O)Nc1ncc(F)s1)c1ccc(Cl)cc1;9.8
CHEMBL594313;Rattus norvegicus;C[C@H](c1ccc(N2CC[C@H](NS(=O)(=O)c3ccc4cc(Cl)ccc4c3)C2=O)c(F)c1)N(C)C;1.3
CHEMBL594034;Rattus norvegicus;Cc1oc(-c2ccccc2)nc1CCCc1ccc(C[C@@H](C(=O)O)n2nccn2)cc1;2.9
CHEMBL593829;Rattus norvegicus;CN[C@H](C)c1ccc(N2CC[C@H](NS(=O)(=O)c3ccc4cc(Cl)ccc4c3)C2=O)c(F)c1;2.4
CHEMBL593590;Rattus norvegicus;CC[C@@H]1CCCCN1C(=O)c1cnc(Nc2ccc(C)nc2)c(Cl)c1;2.0
CHEMBL593584;Rattus norvegicus;C[C@H](c1ccc(N2CC[C@H](NS(=O)(=O)/C=C/c3ccc(Cl)s3)C2=O)c(F)c1)N(C)C;0.66
CHEMBL593277;Rattus norvegicus;O=C([O-])CCc1ccc(Cn2cccn2)cc1OCCc1ccc2ccccc2c1.[Na+];0.538
CHEMBL593205;Rattus norvegicus;CCCCN1C(=O)[C@H](CC2CCCCC2)NC(=O)C12CCN(CCc1cccc(Oc3ccc(C(=O)O)cc3)c1)CC2.Cl;0.145
CHEMBL593032;Rattus norvegicus;C[Si](C)(C)CC[C@H](CCC(F)(F)F)N1CC[C@@H](CC(=O)O)C(F)(F)[C@H]1c1ccc(C(F)(F)F)cc1;5.1
CHEMBL593;Rattus norvegicus;CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1;1.21
CHEMBL592888;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(OCC3CCN(C)CC3)cc(-c3ccccc3)n2)CC1;6.9
CHEMBL592886;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(OC3CCN(CCOC)CC3)cc(-c3ccccc3)n2)CC1;5.2
CHEMBL592880;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(OCC3CCNCC3)cc(-c3ccccc3)n2)CC1;1.3
CHEMBL592778;Rattus norvegicus;COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](N3CCCCC3=O)CN1CC2;5.9
CHEMBL592765;Rattus norvegicus;CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2cc(F)cc(Cl)c2)C1;38.0
CHEMBL592763;Rattus norvegicus;CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCNC(=O)OC)c2cccc(Cl)c2)C1;29.0
CHEMBL592762;Rattus norvegicus;CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2cccc(F)c2)C1;61.0
CHEMBL592671;Rattus norvegicus;CCCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(OC3CCNCC3)cc(-c3ccccc3)n2)CC1;6.9
CHEMBL592646;Mus musculus;CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc([C@@](C)(NCc2ccc3ncccc3c2)C2CCCC2)nn1;5.4
CHEMBL592445;Mus musculus;CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1;7.2
CHEMBL592195;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(OC(=O)N3CCOCC3)cc(-c3ccccc3)n2)CC1;31.0
CHEMBL591945;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(OC(=O)N(C)CC3CCOCC3)cc(-c3ccccc3)n2)CC1;8.6
CHEMBL591578;Rattus norvegicus;CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2cccc(Cl)c2)C1;19.0
CHEMBL591427;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(OC(=O)N3CCCC3)cc(-c3ccccc3)n2)CC1;2.3
CHEMBL591226;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(CCCN(CC)CC)cc(-c3ccccc3)n2)CC1;9.2
CHEMBL591118;Rattus norvegicus;COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](N3C[C@@H](CF)CC3=O)CN1CC2;6.3
CHEMBL590958;Mus musculus;CC(=O)c1ccc(Nc2c3ccccc3nc3occc23)cc1;1.2
CHEMBL590874;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(CCCNCC(C)C)cc(-c3ccccc3)n2)CC1;5.6
CHEMBL590748;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(C(=O)N3CCOCC3)cc(-c3ccccc3)n2)CC1;1.1
CHEMBL590742;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(N3CCC(N)CC3)cc(-c3ccccc3)n2)CC1;0.38
CHEMBL590593;Rattus norvegicus;C[C@H](O)C(=O)N1CC[C@H](N(Cc2cc(Cl)ccc2Cl)c2ccc(C#N)c(Cl)c2)C1;10.0
CHEMBL590557;Rattus norvegicus;COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](c3cc(C)ccn3)CN1CC2;12.0
CHEMBL59030;Mus musculus;O=C(O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1;1.2
CHEMBL590123;Rattus norvegicus;Cc1ccc2[nH]c3c(c2c1)CCN(C(=O)CCN)C3c1cccc(O)c1;94.0
CHEMBL590114;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(N3CC[C@H](OCC(=O)N(C)C)C3)cc(-c3ccccc3)n2)CC1;0.8
CHEMBL590078;Rattus norvegicus;Cc1cccc2c1C(=O)NC1CNCCN21;1.3
CHEMBL590069;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(N3CC[C@@H](OCC(=O)N(CC)CC)C3)cc(-c3ccccc3)n2)CC1;2.1
CHEMBL589973;Rattus norvegicus;CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1;1.0
CHEMBL589930;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(N3CCN(C(C)=O)CC3)cc(-c3ccccc3)n2)CC1;2.4
CHEMBL589908;Rattus norvegicus;O=C(c1ccc(Cn2ccc3cccc(Cl)c32)cc1)N1CC[C@H](N2CCCC2)C1;7.3
CHEMBL589897;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(N3CCC(C(N)=O)CC3)cc(-c3ccccc3)n2)CC1;2.2
