chembl_id,organism,canonical_smiles,IC50 /nM
CHEMBL77670,Rattus norvegicus,CC(C)(C)OC(=O)N1CCN(C(=O)OC(C)(C)C)C1=Nc1ccc(S(=O)(=O)c2ccc(N=C3N(C(=O)OC(C)(C)C)CCN3C(=O)OC(C)(C)C)cc2)cc1,56400.0
CHEMBL77647,Rattus norvegicus,O=C(NCCCN(CCNC(=O)OCc1ccccc1)CCc1c[nH]c2ccccc12)OCc1ccccc1,7800.0
CHEMBL77633,Rattus norvegicus,N=C(N)Nc1ccc(Cc2ccc(NC(=N)N)cc2)cc1,2800.0
CHEMBL77596,Rattus norvegicus,NCCCN(CCN)CCc1ccccc1,214000.0
CHEMBL76688,Mus musculus,CC(C)(C)C(=O)Oc1ccc(S(=O)(=O)Nc2ccccc2C(=O)NCC(=O)O)cc1,100000.0
CHEMBL76505,Rattus norvegicus,C(CCCCNC1=NCCN1)CCCCNC1=NCCN1,16000.0
CHEMBL76504,Rattus norvegicus,C(CCCCCCNC1=NCCN1)CCCCCNC1=NCCN1,2350.0
CHEMBL7630,Mus musculus,CCCCCC(=O)c1c(O)cc(C)oc1=O,200000.0
CHEMBL76,Mus musculus,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,90920.0
CHEMBL75849,Rattus norvegicus,CC(=O)OCCN(CCCNC(=O)OCc1ccccc1)CCNC(=O)OCc1ccccc1,191000.0
CHEMBL75847,Rattus norvegicus,O=C(NCCCN(CCO)CCNC(=O)OCc1ccccc1)OCc1ccccc1,116000.0
CHEMBL7568,Oryctolagus cuniculus,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,10000.0
CHEMBL75538,Rattus norvegicus,O=C(c1ccc(Br)cc1)c1ccc(Br)cc1,244000.0
CHEMBL75414,Rattus norvegicus,CC(C)(C)OC(=O)N1CCN(C(=O)OC(C)(C)C)C1=Nc1ccc(Nc2ccc(N=C3N(C(=O)OC(C)(C)C)CCN3C(=O)OC(C)(C)C)cc2)cc1,9800.0
CHEMBL75389,Rattus norvegicus,c1cc(NC2=NCCN2)ccc1Cc1ccc(NC2=NCCN2)cc1,63600.0
CHEMBL75274,Mus musculus,c1ccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,1900.0
CHEMBL75214,Rattus norvegicus,N=C(N)NCCCCCCNC(=N)N,302000.0
CHEMBL75035,Mus musculus,COc1ccc(C(OCCN2CCC[C@H](C(=O)O)C2)(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,5128.61
CHEMBL74921,Rattus norvegicus,CN(CCCNC(=O)OCc1ccccc1)CCNC(=O)OCc1ccccc1,130000.0
CHEMBL74675,Mus musculus,COc1cc(OC)c2c(=O)c(O)c(-c3ccc(OC)c(OC)c3)oc2c1,100000.0
CHEMBL74474,Rattus norvegicus,CCCCCCCCCCCCNC(=N)N,19600.0
CHEMBL74371,Rattus norvegicus,c1c[nH]c(Nc2ccc(Nc3ccc(Nc4ncc[nH]4)cc3)cc2)n1,113000.0
CHEMBL74196,Rattus norvegicus,N=C(N)Nc1ccc(-c2ccc(NC(=N)N)cc2)cc1,4604000.0
CHEMBL73800,Mus musculus,c1ccc2c(NCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,3000.0
CHEMBL73758,Rattus norvegicus,O=C(c1ccc(NC2=NCCN2)cc1)c1ccc(NC2=NCCN2)cc1,214000.0
CHEMBL73634,Rattus norvegicus,N=C(N)NCCCCCCCCNC(=N)N,276000.0
CHEMBL73627,Rattus norvegicus,N=C(N)NCCCCCCCCCCCCNC(=N)N,630.0
CHEMBL7333,Mus musculus,CCCCCCCC(=O)c1c(O)cc(C)oc1=O,140100.0
CHEMBL73160,Mus musculus,Clc1ccc2c(NCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c3c(nc2c1)CCCC3,2800.0
CHEMBL72683,Rattus norvegicus,c1ccc(-c2nc3ccccc3[nH]2)nc1,64565.42
CHEMBL72617,Mus musculus,COc1cc2oc(-c3ccc(O)cc3O)c(CC=C(C)C)c(=O)c2c(O)c1/C=C/C(C)C,45300.0
CHEMBL72244,Rattus norvegicus,Cc1nc2cc(Cl)ccc2[nH]1,151356.12
CHEMBL71855,Rattus norvegicus,Cc1nc2cc(Cl)c(Cl)cc2[nH]1,81283.05
CHEMBL71851,Rattus norvegicus,COc1cc2ccc(=O)oc2cc1O,90000.0
CHEMBL71263,Mus musculus,Cc1ccc2c(=O)c3cccc(CC(=O)O)c3oc2c1C,67800.0
CHEMBL71,Mus musculus,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,20000.0
CHEMBL70488,Rattus norvegicus,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CN,6500.0
CHEMBL6966,Rattus norvegicus,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,89000.0
CHEMBL69098,Rattus norvegicus,Clc1ccc2[nH]cnc2c1,158489.32
CHEMBL68908,Rattus norvegicus,Nc1nc(O)c2ncn([C@H]3C[C@H](O)[C@@H](CO)O3)c2n1,250000.0
CHEMBL686,Rattus norvegicus,Cc1cccc(Nc2ccccc2C(=O)O)c1C,100.0
CHEMBL67,Rattus norvegicus,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O,820.0
CHEMBL66926,Mus musculus,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,10000.0
CHEMBL664,Mus musculus,CN1C(=O)CCC1c1cccnc1,1499684.84
