organism,chembl_id,canonical_smiles,T1/2 /hr,F /%,AUC /ng.hr.mL-1,Cmax /ug.mL-1,Vdss /L.kg-1,CL /mL.min-1.kg-1,LD50 /mg.kg-1
Rattus norvegicus,CHEMBL564575,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1/C=C/n1cnc2c(NC3CC3)ncnc21,4.0,40.0,32151.0,2.613,3.4,3.167,232.4
Rattus norvegicus,CHEMBL564555,CC(C)Cc1cc(-c2c[nH]c3ncc(-c4ccccc4)cc23)ccc1C(=O)O,1.167,23.0,373.0,1.0,0.62,21.9,342.0
Mus musculus,CHEMBL564507,CCNc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,1.1,27.0,4000.0,1.8,2.5,21.0,100.0
Rattus norvegicus,CHEMBL564405,COc1ccc(-c2ccc(N3CC[C@@H]4CN(C)C[C@@H]43)cc2)cc1,2.0,53.3,119.9,0.0188,2.3,74.83,87.0
Rattus norvegicus,CHEMBL564363,CS(=O)(=O)CCCn1c(CN2C(=O)/C(=N/OCCF)c3cccnc32)nc2ccccc21,0.2,14.0,454,0.014,1.8,130.0,90.5
Rattus norvegicus,CHEMBL564054,Cn1c(=O)cc(Nc2cc(C(=O)NC3CC3)ccc2Cl)c2cnn(-c3c(F)cccc3F)c21,3.4,9.0,139.0,0.7,1.9,21.67,1000.0
Rattus norvegicus,CHEMBL563998,CN1C[C@H]2CCN(c3ccc(-c4ccc(C#N)cc4)cc3)[C@H]2C1,2.4,39.4,170.7,0.0218,3.1,39.5,80.0
Rattus norvegicus,CHEMBL563978,O=c1c2c(C(F)(F)F)nccc2nc(-c2ncccc2O)n1CCC1CCCCC1,0.62,23.0,489.5,0.06,3.2,35.9,80.0
Rattus norvegicus,CHEMBL563897,CCn1c(=O)n([C@@H](c2ccccc2)[C@H](O)CNC)c2ccccc21,3.6,56.0,1845.0,0.306,0.9,54.0,28.0
Rattus norvegicus,CHEMBL563824,CC(Cc1ccc(Oc2cc(N3CCN(Cc4ccccc4)CC3)nc(N)n2)cc1)(Oc1ccccc1)C(=O)O,9.0,100.0,5920.0,3.79,0.8,3.3,100.0
Rattus norvegicus,CHEMBL563341,CN1CC[C@@H](N(Cc2ccccc2C(F)(F)F)c2ccc(C#N)c(Cl)c2)C1,5.8,29.0,50.0,0.013,55.9,510.0,211.0
Mus musculus,CHEMBL563327,CCNC(=O)c1cc2c(-c3cc(OCCN4CCCC4)c(Cl)cc3Cl)nc(N)nc2s1,2.5,33.6,1155.0,0.38,0.9,54.0,312.4
Rattus norvegicus,CHEMBL563215,C[C@H](Cc1ccc(F)c(F)c1)n1c(-c2ncccc2O)nc2ccnc(C(F)(F)F)c2c1=O,3.9,65.4,364.0,0.165,8.6,46.5,90.6
Rattus norvegicus,CHEMBL563097,CONC(=O)c1ccc(C)c(Nc2cc(=O)n(C)c3c2cnn3-c2ccc(F)cc2F)c1,3.3,15.0,120.0,0.5,1.7,43.33,54.3
Rattus norvegicus,CHEMBL562527,CCn1c(=O)cc(Nc2cc(C(=O)NC3CC3)ccc2Cl)c2cnn(-c3ccc(F)cc3)c21,3.7,45.0,2293.0,0.22,1.8,6.833,80.0
Rattus norvegicus,CHEMBL561932,Cn1c(=O)cc(Nc2cc(C(=O)NC3CC3)ccc2Cl)c2cnn(-c3ccc(F)cc3)c21,5.8,84.0,6547.0,0.122,0.97,4.333,122.5
Rattus norvegicus,CHEMBL561798,CCN1CCc2c(C)c(NS(C)(=O)=O)c(C)c(NC(=O)C(C)(C)C)c21,2.59,77.0,10750.0,2.9,0.81,4.3,122.6
Rattus norvegicus,CHEMBL561652,C[C@@H](CO)Oc1cc(Oc2ccc(S(C)(=O)=O)cc2)cc(C(=O)Nc2nccs2)c1,1.3,86.0,800,2.1,0.19,3.9,209.5
Mus musculus,CHEMBL561564,CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc1-2.Cl,2.6,85.0,667,3.5,4.822,31.22,108.0
Rattus norvegicus,CHEMBL561484,CCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(OCCOC)cc(-c3ccccc3)n2)CC1,0.2,33.0,473,4.6,13.6,94.0,1000.0
Rattus norvegicus,CHEMBL561339,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)c(O)c1,4.9,37.6,4611.0,0.246,18.1,55.0,322.0
Mus musculus,CHEMBL561312,COC(=O)Nc1ccc2sc3cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc3c2c1,3.1,34.0,866.0,1.815,1.7,31.2,100.8
Mus musculus,CHEMBL561311,COC(=O)Nc1ccc2sc3cc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)ccc3c2c1,0.5,19.0,1200.0,0.738,3.7,59.9,200.0
Mus musculus,CHEMBL561073,COc1cc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)ccc1OCCO,1.4,0.2,24000.0,0.07,2.5,3.4,300.0
Mus musculus,CHEMBL561057,CC(C)=CCC/C(C)=C/CNCCNC1C2CC3CC(C2)CC1C3,3.71,21.9,2326.05,0.4986,1.2,82.33,100.0
Rattus norvegicus,CHEMBL560895,CC1(C)CC(=O)c2c(C(F)(F)F)nn(-c3ccc(C(N)=O)c(N[C@H]4CC[C@H](O)CC4)c3)c2C1,3.0,40.0,8517.0,1.724,3.2,54.0,212.0
Mus musculus,CHEMBL560775,C[C@@H]1CN(c2ccc(F)cc2C(F)(F)F)CCN1S(=O)(=O)c1ccc(C(N)=O)cc1,3.2,43.0,1776.0,2.833,3.7,19.0,233.4
Rattus norvegicus,CHEMBL560730,Cc1ccc(C(=O)NC2CC2)cc1Oc1cc(=O)n(C)c2c1cnn2-c1c(F)cccc1F,2.3,7.0,244.0,0.5,1.3,10.5,400.0
Mus musculus,CHEMBL560592,NCC(=O)N1C[C@H](NC(=O)c2ccccc2)C[C@H]1C(=O)O,1.9,6.0,73.0,0.026,2.7,65.0,422.0
Mus musculus,CHEMBL560531,CC(C)NC(=O)[C@@H]1C[C@@H](NC(=O)c2ccccc2)CN1C(=O)CN,1.6,6.0,90.0,0.044,2.0,58.0,312.0
Mus musculus,CHEMBL560514,C[C@@H]1CN(c2ccc(F)cc2C(F)(F)F)CCN1S(=O)(=O)c1ccc(N2CCC(C(=O)O)CC2)cc1Cl,2.6,100.0,20507.0,6.882,2.0,9.0,490.8
Rattus norvegicus,CHEMBL560423,O=C(NCC1(O)CCCCCC1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,3.2,75.0,1222.0,1.3,8.5,20.0,222.3
Rattus norvegicus,CHEMBL560390,Cn1c(=O)cc(Nc2cc(C(=O)NC3CC3)ccc2Cl)c2cnn(-c3cc(F)ccc3F)c21,2.1,56.0,2163.0,0.9,1.2,8.667,100.0
Rattus norvegicus,CHEMBL559968,O=C(NCCc1ccccc1Cl)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,3.0,44.0,300.9,2.0,0.3,9.5,255.0
Rattus norvegicus,CHEMBL559638,O=C1c2cccc3c(NCCO)ccc(c23)C(=O)N1c1cccc(Br)c1,0.7,83.0,399.0,0.5,1.1,12.0,1000
Rattus norvegicus,CHEMBL559628,Cc1ccc(C(=O)Nc2cccc(C(C)(C)C)c2)cc1/C=C/n1cnc2c(NC3CC3)ncnc21,2.1,3.5,297.0,0.1,21.0,29.83,500.0
Rattus norvegicus,CHEMBL559327,CC(C)N1C[C@@H](N(Cc2ccccc2Cl)c2ccc(C#N)c(Cl)c2)CC1=O,5.8,100.0,30.0,0.01,42.0,40.0,65.4
Rattus norvegicus,CHEMBL559212,CCCN1C(=O)N2C[C@@H](C(C)C)N=C2c2[nH]c(C34CCC(CCC(=O)O)(CC3)CC4)nc21.Cl,3.1,77.0,2600.0,0.08,0.9,22.0,788.0
Rattus norvegicus,CHEMBL558937,CC(C)=CCC/C(C)=C/CN(CCNC1C2CC3CC(C2)CC1C3)C(=O)OCOC(=O)C(C)(C)C.O=C(O)/C=C\C(=O)O,5.6,72.6,4224.8,0.5856,0.8,50.0,80.0
Rattus norvegicus,CHEMBL558912,Cc1ccc(C(=O)NC2CC2)cc1Nc1cc(=O)n(C)c2c1cnn2-c1c(F)cccc1F,2.8,12.0,273.0,0.039,1.2,14.67,122.4
Rattus norvegicus,CHEMBL558664,CN1CC[C@H](N(Cc2ccccc2C(F)(F)F)c2ccc(C#N)c(Cl)c2)C1,3.6,23.0,1200.0,0.02,39.0,120.0,111.1
Rattus norvegicus,CHEMBL558642,O=C(O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1C1CCCC1,1.583,11.2,313.0,0.5,0.77,25.7,254.0
Rattus norvegicus,CHEMBL558637,O=C(CN1C[C@H](NC(=O)c2ccc(Cl)s2)[C@@H](OCCO)C1)Nc1ccc(-n2ccccc2=O)cc1F,0.35,16.0,1100.0,0.008,1.1,57.1,100.0
Rattus norvegicus,CHEMBL558448,Cn1c(=O)cc(Nc2cc(C(=O)NC3CC3)ccc2Cl)c2cnn(-c3ccc(F)cc3F)c21,3.8,81.0,4612.0,0.1,1.2,6.167,422.0
Rattus norvegicus,CHEMBL557980,CCCN1C(=O)N2C[C@@H](CC)N=C2c2[nH]c(C34CCC(O)(CC3)CC4)nc21.Cl,3.8,84.0,800.0,0.3,4.1,18.0,562.0
Rattus norvegicus,CHEMBL557527,COc1ccc(-c2ccc(Cn3c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c4cc(OCc5ccccn5)ccc43)cc2)cn1,2.2,100.0,26000.0,9.0,0.3,5.4,100.0
Mus musculus,CHEMBL557165,COc1c(C)cnc(Cn2cnc3c(Cl)nc(N)nc32)c1C.Cl,0.8,42.0,4800.0,10.0,0.8,21.3,100.0
Rattus norvegicus,CHEMBL557152,CCCN1C(=O)N2C[C@@H](C(C)C)N=C2c2[nH]c(C34CCC(O)(CC3)CC4)nc21.Cl,2.9,54.0,810.0,0.9,1.7,21.0,121.4
Rattus norvegicus,CHEMBL557062,CCC(=O)ON1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cccc(-c3ccccc3)n2)CC1,1.8,34.0,899.0,0.7,15.5,98.0,210.0
Mus musculus,CHEMBL556874,Cc1ccc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc1/C=C/n1cnc2c(NC3CC3)ncnc21,5.7,100.0,21195.0,23.53,0.8,0.6667,240.0
Rattus norvegicus,CHEMBL556669,Cc1ccc(C(=O)Nc2cc(C(C)(C)C)on2)cc1/C=C/n1cnc2c(NC3CC3)ncnc21,3.7,45.0,7540.0,1.04,0.7,15.0,1000.0
Rattus norvegicus,CHEMBL555693,CC(C)n1c(=O)c(C(=O)N[C@@H]2C[C@@H]3CC[C@H](C2)N3CCCCCCCN2CCN(S(C)(=O)=O)CC2)cc2ccccc21,20.3,20.0,83.0,0.01,0.9,32.8,765.0
Rattus norvegicus,CHEMBL555017,CC(C)=CCC[C@]1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)O[C@]12C(=C[C@@H]4C[C@H]1C(C)(C)O[C@@]2(C/C=C(/C)C(=O)O)C4=O)C3=O,5.06,13.4,2005.0,0.191,0.05,41.02,445.0
Rattus norvegicus,CHEMBL553175,COc1ccc(-c2ccc(Cn3c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c4cc(OCc5ccccn5)ccc43)cc2)nc1,2.2,100.0,61600.0,21.8,0.3,2.8,600.0
Rattus norvegicus,CHEMBL552567,COc1ccc(-c2ccc(Cn3c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c4cc(OCc5ccccn5)ccc43)cc2)nn1,2.1,42.0,61600.0,7.9,0.51,2.8,360.0
Mus musculus,CHEMBL552394,C[C@@H]1CN(c2ccc(F)cc2C(F)(F)F)CCN1S(=O)(=O)c1ccc(N2CCOCC2)cc1Cl,3.8,12.0,609.0,0.361,4.5,55.0,235.0
Rattus norvegicus,CHEMBL552284,CN1C[C@@H](N(Cc2cccc(F)c2F)c2ccc(C#N)c(Cl)c2)CC1=O,6.2,100.0,2300.0,0.66,3.4,16.0,210.0
Rattus norvegicus,CHEMBL552023,CCN1C[C@@H](N(Cc2cc(F)ccc2Cl)c2ccc(C#N)c(Cl)c2)CC1=O,2.0,100.0,290.0,0.097,15.0,75.0,681.0
Rattus norvegicus,CHEMBL551964,Cc1ccc2c3c(ccc2n1)OC[C@H](CN1CCN(c2ccc4cc(C#N)ccc4n2)CC1)O3,3.8,61.0,1268.0,0.456,8.9,0.22,100.0
Mus musculus,CHEMBL551735,O=C(C=C1CCN(C(=O)c2ccccc2O)CC1)N[C@@H]1CCN(Cc2ccc3cc(F)ccc3c2)C1,2.9,35.0,190.0,0.6,9.877,88.0,100.0
Rattus norvegicus,CHEMBL551474,CNC[C@@H](O)[C@H](c1cccc(F)c1)n1c(=O)n(C(C)C)c2cccc(F)c21,2.3,97.0,7076.0,1.121,12.0,24.0,80.0
Rattus norvegicus,CHEMBL551355,CC(=O)c1ccc(-c2ccc(N3CC[C@@H]4CN(C)C[C@@H]43)cc2)cc1,1.6,14.7,178.6,0.0067,2.5,96.5,211.2
Rattus norvegicus,CHEMBL551031,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1/C=C/n1cnc2c(Nc3cccnc3)ncnc21,2.4,11.0,3311.0,0.387,5.1,8.167,409.0
Mus musculus,CHEMBL550971,CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(OC4CCN(C)CC4)cc3)nc1-2.Cl,3.9,38.0,211.0,0.66,5.273,43.68,100.0
Rattus norvegicus,CHEMBL550795,O=C(O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1,9.4,100.0,392.0,0.51,8.8,64.4,108.0
Rattus norvegicus,CHEMBL550519,CCn1c(=O)cc(Nc2cc(C(=O)NC3CC3)ccc2Cl)c2cnn(-c3ccc(F)cc3F)c21,3.4,16.0,776.0,0.41,1.5,7.0,110.0
Rattus norvegicus,CHEMBL550467,C[C@H](Cc1ccccc1)n1c(-c2ncccc2C(F)(F)F)nc2ccnc(C(F)(F)F)c2c1=O,0.8,24.0,1200.0,0.1,2.9,17.0,400.0
Mus musculus,CHEMBL550356,C[C@@H]1CN(c2ccc(F)cc2C(F)(F)F)CCN1S(=O)(=O)c1ccc(N2CCC(C(N)=O)CC2)cc1Cl,7.4,35.0,3147.0,0.913,4.6,11.0,587.0
Mus musculus,CHEMBL550175,C[C@@H]1CN(c2ccc(F)cc2C(F)(F)F)CCN1S(=O)(=O)c1ccc(C(N)=O)cc1Cl,7.3,50.0,17001.0,1.438,2.6,5.0,1000.0
Rattus norvegicus,CHEMBL550038,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(N3CCOC3=O)cc12)C(=O)O,0.5,17.0,0.6,0.456,0.8,18.0,155.0
Rattus norvegicus,CHEMBL549906,O=C(O)Cc1ccc(-c2c[nH]c3ncc(-c4ccc5ccccc5c4)cc23)cc1,4.217,21.0,467.0,0.5,1.3,21.3,420.0
Rattus norvegicus,CHEMBL545712,COc1ccc(CNc2nnc(N3CCC(O)CC3)c3ccc(C#N)cc23)cc1Cl.Cl,2.2,42.0,32.4,0.02554,2.1,18.0,316.0
Rattus norvegicus,CHEMBL545711,Cl.S/C(=N\CCc1ccccn1)c1cccnc1S,2.22,7.9,4700.0,1.20,14.51,144.33,1800.0
Rattus norvegicus,CHEMBL545151,CO/N=C1\CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@]1(C)CN.Cl,6.94,8.9,68770.0,6.67,2.1,20.0,800.0
Mus musculus,CHEMBL542000,O=C(O)c1n[nH]c2c1CC(c1cc(F)ccc1F)CC2,2.9,53.0,1200.0,1.2,1.4,8.3,325.0
Rattus norvegicus,CHEMBL541973,CC(C)CC(c1nnnn1C)N(CC(C)C)c1ccc(C#N)c(Cl)c1,8.9,100.0,572.0,0.146,0.9,24.0,1010.0
Rattus norvegicus,CHEMBL541488,CC(C)=CCC/C(C)=C/CN(CCNC1C2CC3CC(C2)CC1C3)C(=O)OCOC(=O)C(C)C.O=C(O)/C=C\C(=O)O,4.58,91.4,5441.2,1.309,0.8,41.5,750.0
Mus musculus,CHEMBL540716,CC(=O)NCC(=O)N1C[C@H](NC(=O)c2ccccc2)C[C@H]1C(=O)O,0.3,2.0,66.0,0.038,0.3,24.0,434.0
Mus musculus,CHEMBL540715,NCC(=O)N1C[C@H](NC(=O)c2ccccc2)C[C@H]1C(=O)NC1CC1,1.6,6.0,90.0,0.044,2.0,58.0,227.0
Rattus norvegicus,CHEMBL540704,CCn1c2ccccc2c2cc(NC(=O)CCc3nc(-c4ccccc4F)no3)ccc21,1.6,13.0,460.0,0.1,0.3,20.0,81.0
Mus musculus,CHEMBL540620,Cl.O=C(NCc1ccc(N2CCN(Cc3ccccc3)CC2)cc1)c1ccc([N+](=O)[O-])o1,1.1,80.0,1220,2.24,0.4,29.7,936.0
Mus musculus,CHEMBL539969,CS(=O)(=O)O.NCCSCc1cnccc1SC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3nc(N)sc3Cl)[C@H]2SC1,0.17,2.3,1110.2,133.3,0.22,20.0,80.0
Rattus norvegicus,CHEMBL539734,CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(N3CCC(CN)CC3)cc(-c3ccccc3)n2)CC1,0.4,0.0,100.0,2.1,2.6,70.0,9.0
Rattus norvegicus,CHEMBL539733,CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(N3CCC(COC)CC3)cc(-c3ccccc3)n2)CC1,0.7,25.0,120.0,1.4,0.3,3.0,80.0
Rattus norvegicus,CHEMBL539663,CCC(C)Nc1nc(-c2ccc(S(C)(=O)=O)cc2)cc(C(F)(F)F)n1,9.0,107.0,1200.0,4.5,6.0,10.0,75.0
Rattus norvegicus,CHEMBL539650,CC(C)(C)Sc1c(CC(C)(C)C(=O)O)n(Cc2ccc(-c3nccs3)cc2)c2ccc(OCc3ccccn3)cc12,6.3,50.0,9540.0,4.3,0.71,8.6,620.0
Mus musculus,CHEMBL539433,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(/C=C/n4cnc5c(NC6CC6)ncnc54)c3)cc(C(F)(F)F)c2)cn1,8.3,7.0,17249.0,1.02,0.5,1.0,1000.0
Mus musculus,CHEMBL539398,O=C(O)c1n[nH]c2c1CC(c1cccnc1F)CC2,2.6,47.0,1320.8,1.2,2.4,21.0,2.5
Rattus norvegicus,CHEMBL539377,CN(C)C(=N)/N=C(\N)NSC1CCCCC1,3.0,64.5,4583.33,1.3,0.5,59.0,10.0
Rattus norvegicus,CHEMBL538762,CN(C)CC/N=C(\S)c1cccnc1S.Cl,2.72,100.0,6910.0,2.1,11.19,60.83,1000.0
Rattus norvegicus,CHEMBL538635,CC(C)n1c(=O)c(C(=O)N[C@@H]2C[C@@H]3CC[C@H](C2)N3C[C@@H](O)CN2CCN(S(C)(=O)=O)CC2)cc2ccccc21,5.2,20.0,200.0,0.031,0.9,54.0,15.0
Rattus norvegicus,CHEMBL538632,CC(C)(C)Sc1c(CC(C)(C)C(=O)O)n(Cc2ccc(-c3cccnc3)cc2)c2ccc(OCc3ccccn3)cc12,7.6,8.0,1880.0,0.92,0.38,7.0,7.9
Rattus norvegicus,CHEMBL538336,CC(C)CC1NC(=O)C2(CCN(Cc3ccc(Oc4ccccc4)cc3)CC2)N(CCC(C)O)C1=O.Cl,0.8067,34.1,10532.0,7.2,0.145,16.0,146.0
Rattus norvegicus,CHEMBL538090,Cl.N[C@H]1CN(CCc2ccc3c(c2)OCO3)C(=O)C[C@@H]1c1cc(F)c(F)cc1F,0.42,9.0,322.0,0.192,1.04,36.33,1000.0
Rattus norvegicus,CHEMBL537424,CCCCN1C(=O)C(CC(C)C)NC(=O)C12CCN(Cc1ccc(Oc3ccccc3)cc1)CC2.Cl,0.2,1.3,372.0,0.1,2.349,137.0,1000.0
Rattus norvegicus,CHEMBL537219,Cl.O=C(c1ccc(F)cc1)N1CCN(c2ccc(OC3CCN(C4CCC4)CC3)cc2)C(=O)C1,2.0,35.0,837.0,0.337,0.87,18.0,3160.0
Mus musculus,CHEMBL53710,COc1ccc(Cn2cc(C)c3ccc(C(=O)Nc4c(Cl)cncc4Cl)cc32)cc1,2.6,3.7,677.8,2.1,2.4,24.67,2500.0
Rattus norvegicus,CHEMBL536743,CCCCN1C(=O)C(CC2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccccc3)cc1)CC2.Cl,0.4,1.9,400.0,0.0056,2.542,113.0,77.0
Rattus norvegicus,CHEMBL536636,NC[C@H]1CC[C@]2(CC1)OOC1(O2)C2CC3CC(C2)CC1C3,1.5,31.0,139.0,3.2,0.5,129.0,865.0
Rattus norvegicus,CHEMBL536536,Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1C(O)c1ccc(F)cc1)Cc1cc(F)c(F)cc1F,2.6,8.0,200.9,2.5,0.09,63.0,500.0
Rattus norvegicus,CHEMBL536511,Cl.O=C(O)COc1cccc(CN2CCC[C@@H]2c2nc(-c3ccccc3)c(-c3ccccc3)o2)c1,0.5683,41.0,81.7,0.0155,0.6,21.0,180
Rattus norvegicus,CHEMBL536312,Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)Cc1cc(F)c(F)cc1F,4.1,19.0,1490.0,0.7,3.4,50.0,100.0
Mus musculus,CHEMBL536072,COc1c(C)ncc(Cn2cnc3c(Cl)nc(N)nc32)c1C.Cl,0.9,21.0,9000.0,28.2,4.3,11.0,793.2
Rattus norvegicus,CHEMBL536057,C=C(CNN)c1ccccc1.Cl,11.28,80.0,1340.25,0.366,3.4,0.4,894.0
Mus musculus,CHEMBL535714,O=C(Nc1cc(C(F)(F)F)ccc1-n1cncn1)C1(c2ccccc2)CC1,2.77,81.0,596.0,2.34,7.64,29.7,600.0
Rattus norvegicus,CHEMBL535165,CCCn1c(=O)c2nc(C34CCC(CCC(=O)O)(CC3)CC4)[nH]c2n(CCC)c1=O.Cl,3.1,99.0,10000.0,11.2,0.3,1.6,674.0
Mus musculus,CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,0.205,23.4,11848.0,0.963,3.361,13.0,400.0
Rattus norvegicus,CHEMBL534717,CN(C)[C@@H]1CCN(c2ccc(-c3coc4cc(-c5ccc(Cl)cc5)ccc4c3=O)cn2)C1.Cl,5.0,66.0,859.0,2.4,58.0,133.0,877.5
Rattus norvegicus,CHEMBL531475,COc1ccc(-c2cc(-c3ccc(S(C)(=O)=O)cc3)cnc2N)cn1,6.5,83.0,984.0,5.5,4.3,18.3,100.0
Mus musculus,CHEMBL530733,OC(CNC1CCCCC1)Cn1c2ccc(Br)cc2c2cc(Br)ccc21,15.0,50.0,3753.0,0.158,13.0,12.3,121.55
Rattus norvegicus,CHEMBL529213,O=C([C@@H]1C[C@H]1c1ccc(C(F)(F)F)cc1)N1CCN(S(=O)(=O)c2cc(-c3nnc[nH]3)cc(C(F)(F)F)c2)CC1,3.8,31.0,899.0,1.2,3.8,23.7,81.0
Mus musculus,CHEMBL529,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,2.0,33.0,1200.0,1.3,8.8,23.2,443.0
Mus musculus,CHEMBL528387,Cc1[nH]c(C)c(-c2ccc(-c3ccc(OC(F)(F)F)cc3)nc2)c(=O)c1Cl,18.7,54.9,166800.0,2.29,2.1,0.53,342.0
Rattus norvegicus,CHEMBL528104,CC(C)(C)Cn1c(CN2CCC3(CC2)NC(=O)NC3=O)cc2cnc(C#N)nc21,1.6,42.0,1200.0,2.1,5.9,78.33,90.0
Mus musculus,CHEMBL528047,Cc1[nH]c(C)c(-c2ccc(-c3ccc(OC(F)(F)F)cc3)nc2)c(=O)c1Br,14.59,49.15,117600.0,4.1,2.4,0.72,100.0
Rattus norvegicus,CHEMBL527883,CC(C)(C)Cn1c(CN2C(=O)NC3(CCNCC3)C2=O)cc2cnc(C#N)nc21,3.3,21.3,1300.0,1.2,59.2,245.0,71.2
Rattus norvegicus,CHEMBL527112,CCC(c1ccc(-c2ccc(F)cc2)cc1)n1ccnc1,10.0,42.3,70729.0,3.288,12.0,11.67,30.0
Rattus norvegicus,CHEMBL526837,CCN(C(=O)CN(c1cc2c(C)nsc2cc1Cl)S(=O)(=O)c1ccc(OC)c(OC)c1)c1cccc(C)n1,0.8,2.0,121.0,0.04,1.5,32.0,65.4
Rattus norvegicus,CHEMBL526305,C[C@](O)(c1ccc(C(=O)N(C2CC2)[C@H]2CC[C@](O)(C3CC3)CC2)cc1)C(F)(F)F,12.2,76.0,8900.0,0.9,2.7,4.0,77.0
Rattus norvegicus,CHEMBL526107,CN1CCC(CCOc2nc(C#N)nc(NCC3CCC4(CC3)CC4)c2Br)CC1,4.6,100.0,1100.0,0.003,4.5,85.0,336.0
Rattus norvegicus,CHEMBL526098,Cc1cccc(NS(=O)(=O)c2ccc(-c3ccc(C#N)cc3)cc2)n1,28.0,89.0,1432.0,0.54,0.15,0.06,210.0
Mus musculus,CHEMBL526092,CCC1CNC(=O)c2cc(-c3ccnc(N)n3)[nH]c21,1.3,74.0,12202.9,0.21,1.5,125.0,1000.0
Rattus norvegicus,CHEMBL526083,CC(C)N(C)c1nc2ccc(NC(=O)c3cnc(-c4ccc(F)cc4)cn3)cc2[nH]1,2.3,35.0,500.0,0.102,2.3,11.0,120.0
Rattus norvegicus,CHEMBL526,CC(C)c1cccc(C(C)C)c1O,0.7,42.0,77.0,0.6,5.23,12.0,27.08
Rattus norvegicus,CHEMBL525893,Cc1ccn(-c2ccc(-c3ncco3)cc2)c(=O)c1-c1ccc2nc(N)ncc2c1,2.6,39.0,9860.0,1.23,1.59,7.667,443.5
Rattus norvegicus,CHEMBL525716,CCCN(CCC)c1c(C)nc(-c2c(OC)cc(Cl)cc2OC)nc1OC,2.8,2.0,689.0,0.21,2.5,21.0,30.0
Mus musculus,CHEMBL525177,CNCC(=O)N[C@H](c1cc(Cl)ccc1N1CCN(C(=O)[C@H](C)Cc2ccc(Cl)cc2)CC1)C(C)C,1.8,13.0,232.0,0.088,4.6,102.0,400.0
