organism,chembl_id,canonical_smiles,T1/2 /hr,F /%,AUC /ng.hr.mL-1,Cmax /ug.mL-1,Vdss /L.kg-1,CL /mL.min-1.kg-1,LD50 /mg.kg-1
Rattus norvegicus,CHEMBL841,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,13.0,34.0,806.0,0.069,7.9,75.0,990.2
Rattus norvegicus,CHEMBL83385,CCCN(CCC)c1c(C)nc(-c2c(C)cc(C)cc2OC)n(CC)c1=O,3.3,2.6,28922.1,0.234,3.454,16.6,600.0
Rattus norvegicus,CHEMBL83279,c1ccc(-n2cnc3cc(-c4ccc(OCCN5CCCCC5)cc4)ccc32)cc1,6.1,76.0,590.0,0.65,1.9,14.4,360.0
Rattus norvegicus,CHEMBL81717,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=N)N)[C@H]1NC(C)=O,1.567,1.9,450.0,0.3,11.5,3.44,612.0
Rattus norvegicus,CHEMBL809,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,0.3833,51.0,430.5,0.71,52.0,71.0,100.0
Mus musculus,CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,1.87,44.5,8000.0,6.0,8.54,3.5,1000.0
Rattus norvegicus,CHEMBL79433,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCN(Cc2ccccc2)CC1,4.4,55.0,327000.0,75.2,0.1,0.3,899.0
Rattus norvegicus,CHEMBL79263,CCOC(=O)[C@]1(Cc2ccccc2)CCCN(C(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)C(C)(C)N)C1,0.4,7.8,1220.5,0.1824,2.7,206.0,142.5
Rattus norvegicus,CHEMBL77826,O=C(O)c1ccc(-c2cc3cccnc3c(-c3ccc4nonc4c3)n2)cc1,12.0,8.0,1000.0,0.211,0.37,2.34,332.8
Mus musculus,CHEMBL741,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,10.1,79.0,487.56,3.5,0.98,1.4,343.9
Rattus norvegicus,CHEMBL710,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,3.91,54.9,23.79,0.00419,0.99,18.0,683.99
Rattus norvegicus,CHEMBL700,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,2.3,43.2,15437.0,3.244,0.86,86.4,878.8
Rattus norvegicus,CHEMBL69723,Nc1nc(/C(=N/O)C(=O)NC2C(=O)N3C(C(=O)O)=C(/C=C\c4csnn4)CSC23)cs1,4.4,70.4,4700.0,6.0,0.599,65.7,1000.0
Rattus norvegicus,CHEMBL6966,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,0.3067,52.2,1458.0,0.1343,1.54,74.24,612.0
Rattus norvegicus,CHEMBL68553,CC(C)C[C@@H](C(=O)N[C@H](C(=O)Nc1nccs1)C(C)(C)C)[C@H](C)N(O)C=O,3.4,26.0,957.0,2.33,0.9,62.0,788.2
Rattus norvegicus,CHEMBL674,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,1.69,4.3,2960.0,0.693,0.8,16.0,232.1
Rattus norvegicus,CHEMBL66089,Nc1ncnc2nc(-c3ccc(N4CCOCC4)nc3)cc(-c3cccc(Br)c3)c12,0.9,22.6,900.32,0.55,2.11,13.33,1000.0
Rattus norvegicus,CHEMBL65665,Nc1ncnc2nc(-c3ccc(N4CCC5(CC4)OCCO5)nc3)cc(-c3cccc(Br)c3)c12,3.6,44.7,2944.0,3.22,1.454,65.0,25.0
Rattus norvegicus,CHEMBL6514,Cc1c(C)c2c(c(C)c1OCc1ccccc1)CCC(C)(CN(C)CCOc1ccc(/C=C3\SC(=O)NC3=O)cc1)O2,4.87,32.1,27470.0,4.12,3.54,309.2,2200.0
Rattus norvegicus,CHEMBL64830,COc1cc(Nc2ncc(-c3ccccc3N(C)C(=O)CN3CCOCC3)o2)ccc1-c1cnco1,5.9,25.0,1467.0,1.112,2.1,71.0,348.4
Rattus norvegicus,CHEMBL64391,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,2.57,8.0,343.0,0.00628,0.9,321.67,220.7
Rattus norvegicus,CHEMBL641,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,2.8,1.5,910.0,0.17,0.33,36.4,232.5
Mus musculus,CHEMBL64,NNC(=O)c1ccncc1,18.62,65.0,55340.0,298.2,0.54,0.21,151.0
Rattus norvegicus,CHEMBL61322,CC/N=C(\S)c1cccnc1S,0.6197,23.3,15800.0,34,0.93,20.0,100.0
Rattus norvegicus,CHEMBL609583,O=C(NO)c1cnc(N2CCN(S(=O)(=O)c3ccc4ccccc4c3)CC2)nc1,1.5,20.0,3381.0,21.3,0.6,13.33,343.2
Rattus norvegicus,CHEMBL605921,N#Cc1c(-c2ccc(Oc3ccccc3)cc2)ccn2c(CC(F)(F)F)cnc12,2.1,27.0,714.0,0.274,0.5,56.67,3483.3
Mus musculus,CHEMBL605412,O=C(NCC(O)c1cccnc1)c1ccc(N2CCC3(CCc4c(cccc4C(F)(F)F)O3)CC2)nn1,2.0,67.0,13000.0,3.5,3.4,17.0,400.0
Rattus norvegicus,CHEMBL605408,COC(=O)NCCO[C@@H](c1cccc(Cl)c1)[C@@H]1CCCN(C(=O)N[C@H](CN)CC2CCCCC2)C1,7.8,7.2,201.0,0.063,51.0,53.0,422.0
Mus musculus,CHEMBL604871,Cc1ccccc1C(=O)C1CCN(c2ccc(C(=O)NCC(O)c3cccnc3)nn2)CC1,1.3,68.0,7800.0,6.3,32,29.0,699.0
Rattus norvegicus,CHEMBL604710,O=C(CC(c1ccccc1)c1ccccc1)N1CCN(C(c2ccccc2)c2ccccc2)CC1,3.3,30.0,761.0,0.235,9.868,45.5,711.4
Rattus norvegicus,CHEMBL602468,CCC(NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc1ccc(-c2ccccc2C(=O)O)cc1)c1ccccc1,4.58,52.0,1329.0,0.319,17.0,40.0,232.1
Rattus norvegicus,CHEMBL602337,CC(C)CC(NC(=O)c1cc(COc2ccccc2)ccc1CCC(=O)O)c1ccccc1,12.0,31.0,434,2.66,2.2,15.3,56.2
Rattus norvegicus,CHEMBL601500,Cc1ccccc1CN(c1ccc(C#N)c(Cl)c1)[C@H]1CCN(S(C)(=O)=O)C1,1.6,100.0,342,0.221,12.0,98.0,2.5
Mus musculus,CHEMBL600002,CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc([C@@](C)(NCc2ccc3ncccc3c2)C(C)C)nn1,2.95,21.0,4673.0,4.133,4.2,36.2,225.0
Rattus norvegicus,CHEMBL599589,O=C(c1ccc(Cn2cnc3ccccc32)cc1)N1CC[C@H](N2CCCC2)C1,1.3,93.0,2736.0,1.751,3.6,56.0,667
