chembl_id;organism;canonical_smiles;Cmax /ug.mL-1
CHEMBL4086324;Mus musculus;O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(-c3ccc(OC(F)(F)F)cc3)cc1)CC2;14.0
CHEMBL4086264;Rattus norvegicus;CC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C[C@@H](NC(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)C[C@H]1C(=O)O;0.55
CHEMBL4086174;Mus musculus;CCc1ccc(-c2noc(C(F)(F)F)c2COc2c(F)cc(CCC(=O)O)cc2F)cc1;7.673
CHEMBL4086143;Rattus norvegicus;O=C1CC(c2c[nH]c3ccc(F)cc23)C(=O)N1;0.985
CHEMBL4086045;Rattus norvegicus;C[C@@H](N[C@H]1CCN(c2ccc(C(=O)NCCn3cnc(C(=O)O)c3C(=O)O)cc2)C1)c1cccc2ccccc12;0.004
CHEMBL4086008;Rattus norvegicus;CN(C/C=C/c1ccc(-c2ccccc2)cc1)Cc1coc2ccccc12.Cl;0.2126
CHEMBL4085996;Mus musculus;CC(=O)O[C@H]1[C@H]2[C@H]([C@@H]3[C@@H](OC(C)=O)[C@@H]4[C@H]([C@H](C)[C@H]5O[C@]56OC(=O)[C@@](C)(O)[C@]46C)[C@@]3(C)[C@H]1OC(C)=O)[C@@H](O)C(=O)[C@H]1C[C@@H]3O[C@@H]3[C@H](OC(C)=O)[C@@]12C;8.6
CHEMBL4085979;Rattus norvegicus;CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)CCNCCNc2cc3c(=O)c(C(=O)O)cn(C4CC4)c3cc2Cl)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC/C=C/c2cnc3ccccc3c2)C[C@@H](C)NC(=O)[C@H](C)[C@@H](O)[C@]1(C)O;0.63
CHEMBL4085868;Rattus norvegicus;C=CC(=O)Nc1cc(Nc2cc(-c3cccc(NC(=O)c4ccc(N(C)C)cc4)c3C)cn(C)c2=O)ccc1C(=O)N1CCOCC1;2.44
CHEMBL4085852;Rattus norvegicus;O=C(Nc1nc(-c2ccccc2)cs1)[C@@H]1CCCN1C(=O)[C@H](NC(=O)N1CCOCC1)c1ccccc1;0.2473
CHEMBL4085780;Mus musculus;O=C1CCc2ccccc2N1CCCN1CCN(c2ccccc2)CC1;0.481
CHEMBL4085610;Rattus norvegicus;C[N+](C)(C)CC(CC(=O)[O-])OC(=O)CCCCCCCCC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1;2043.8
CHEMBL4085268;Mus musculus;CC(C)c1cc(C(=O)Nc2ccccn2)no1;0.002
CHEMBL4085239;Rattus norvegicus;Nc1noc2c(N3CC[C@@H](NC(=O)c4ccc(-n5cnnc5C(F)F)cc4Cl)C3)ncc(Cl)c12;0.1
CHEMBL4085003;Rattus norvegicus;COc1cccc2c1c(CN1CCN(C)CC1)cn2S(=O)(=O)c1ccc(C(C)C)cc1.Cl.Cl;0.0456
CHEMBL4084988;Mus musculus;NC(=O)c1cc(Cl)c2c(Cl)c(I)n(C3CCCNC3)c2n1;3.5
CHEMBL4084907;Rattus norvegicus;Nc1cc(C(F)(F)F)c(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cn1;3.047
CHEMBL4084855;Mus musculus;COc1ccc(N2CCN(c3nc(-c4ccncn4)cc(=O)n3C)[C@H](C)C2)cc1;0.528
CHEMBL4084726;Rattus norvegicus;CCC(=O)N1CC[C@H](N2C(=O)N(c3cc(OC)ccc3Cl)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1;0.988
CHEMBL4084675;Mus musculus;COc1ccc(Nc2ccc3c(C4CCN(C)CC4)c[nH]c3c2)cc1OC;0.549
CHEMBL4084630;Mus musculus;CC[C@@H]1/C=C(\C)C(O)[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC;0.184
CHEMBL4084567;Mus musculus;CCOP(=O)(OCC)C(=Cc1ccccc1)P(=O)(OCC)OCC;0.811
CHEMBL4084495;Mus musculus;CCCNC(=O)[C@H]1C[C@@H]2CCC[C@H](C1)[C@H]2NC(=O)c1cc2sc(Br)nc2n1Cc1ccc(OC)cc1;6.7
CHEMBL4084110;Rattus norvegicus;COc1ccc(-c2cc3cc(C(c4c[nH]c5ccccc45)c4c[nH]c5ccccc45)cc(C(C)(C)C)c3oc2=O)cc1OC;0.07897
CHEMBL4084050;Mus musculus;CCc1ccn2ccnc2c1N1CCCN([C@@H](CC(N)=O)C2CCN(C(=O)[C@H]3C[C@@H]4CC[C@H]3O4)CC2)CC1;0.682
CHEMBL4084025;Mus musculus;Cc1c(Oc2cnc(C(=O)NC(C)CO)cn2)ccc2c1B(O)OC2;3.8
CHEMBL408398;Rattus norvegicus;N=C(N)NCCC[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)CCC(=O)NCCN(CC(N)=O)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O;0.202
CHEMBL4083906;Mus musculus;Cl.Cn1cccc1C(=O)N[C@@H](CCn1ccnc1)C(=O)NCc1ccccc1;0.17
CHEMBL4083840;Rattus norvegicus;Cc1nnc2c(Nc3cccc(CNC(=O)C(C)C)c3)nc3ccccc3n12;4600.0
CHEMBL4083511;Rattus norvegicus;COC(=O)[C@@H](N)CCC(=O)Nc1ccc(COC2=C(C#N)[C@H](O)[C@]3(C)C4=CC(=O)[C@@H]5[C@@H]6CC(C)(C)CC[C@]6(C(=O)OC)CC[C@@]5(C)[C@]4(C)CC[C@H]3C2(C)C)cc1;3.02
CHEMBL4083504;Mus musculus;COc1ncc(-c2ccc3ncc(NC(=O)CN4CCOCC4)c(OC)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F;2.951
CHEMBL4083298;Rattus norvegicus;CC1(C)CCC2(CC1)N[C@@H](C(=O)Nc1ccc(C(=O)O)cc1)[C@H](c1cccc(Cl)c1F)[C@]21C(=O)Nc2cc(Cl)ccc21;0.968
CHEMBL4083006;Rattus norvegicus;C[C@@H](c1cccc([C@H](C)C2CC2)c1O)C1CC1;713000.0
CHEMBL4082857;Rattus norvegicus;Nc1noc2c(N3CC[C@@H](NC(=O)c4ccc(-n5cnnc5)cc4Cl)C3)ncc(Cl)c12;0.12
CHEMBL4082756;Mus musculus;Cc1cc(-n2nc(Cc3cc(F)cc(C(F)(F)F)c3)nc2C)ccc1C(N)=O;0.688
CHEMBL4082531;Mus musculus;O=S(=O)(c1ccc(O)cc1O)N1Cc2cc(O)cc(O)c2C1;29.0
CHEMBL4082473;Rattus norvegicus;COc1ccc2c(c1)c(CN1CCN(C)CC1)cn2S(=O)(=O)c1ccccc1Br.CS(=O)(=O)O.O;0.2723
CHEMBL4082423;Rattus norvegicus;O=[N+]([O-])c1cn2c(n1)O[C@H](COc1ccc(-c3ccc(F)cc3)nc1)CC2;0.71
CHEMBL4082422;Mus musculus;NC(=O)c1cc(Cl)c2c(Cl)c(C3CC3)n(C3CCCNC3)c2n1;0.292
CHEMBL4082283;Rattus norvegicus;CCOc1ccc(Cc2cc([C@]34OC[C@](OC)(O3)[C@@H](O)[C@H](O)[C@H]4O)ccc2Cl)cc1;1.826
CHEMBL4082191;Mus musculus;[2H]c1cc(C(=O)NC([2H])([2H])[2H])c(F)c([2H])c1N1C(=S)N(c2cnc(C#N)c(C(F)(F)F)c2)C(=O)C12CCC2;3.94
CHEMBL4082159;Mus musculus;Cl.NC[C@H]1OB(O)c2c(OCCO)ccc(Cl)c21;17.76
CHEMBL4082125;Rattus norvegicus;C[C@@H](N[C@H]1CCN(c2ccc(C(=O)N(C)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO)cc2)C1)c1cccc2ccccc12;0.729
CHEMBL4082072;Rattus norvegicus;Cn1nccc1S(=O)(=O)N1CCC2=Cc3c(cnn3-c3ccc(F)cc3)C[C@]2(C(=O)c2cc(C(F)(F)F)ccn2)C1;0.528
CHEMBL4081974;Rattus norvegicus;COC(=O)N[C@@H]1CC(C)(C)c2ccc(Nc3nc(NCC(F)F)c4occc4n3)cc2NC1=O;0.036
CHEMBL4081181;Rattus norvegicus;O=C(Nc1nc(-c2ccccc2)cs1)[C@@H]1CCCN1C(=O)[C@H](NC(=O)N1CCCC1)c1ccccc1;0.0639
CHEMBL4081121;Rattus norvegicus;Cc1cccc(S(=O)(=O)N2CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@]3(C(=O)c3cc(C)ccn3)C2)c1;0.011
CHEMBL4080995;Mus musculus;O=C(O)CCc1cc(F)c(OCc2c(-c3ccccc3)noc2C(F)(F)F)c(F)c1;0.01615
CHEMBL4080789;Rattus norvegicus;C=C1C(=O)O[C@H]2c3c(C)c(OCc4ccccc4Br)cc(C)c3CC[C@@H]12;0.0422
CHEMBL4080576;Rattus norvegicus;Cn1cc(S(=O)(=O)N2CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@]3(C(=O)c3ccccn3)C2)cn1;0.15
CHEMBL4080362;Rattus norvegicus;CNc1cc(C2(C(=O)Nc3cc(C(=O)Nc4ccc(OCC5CCN(C)CC5)c(C(F)(F)F)c4)ccc3C)CC2)ncn1;131.9
CHEMBL408;Rattus norvegicus;Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2;5.47
CHEMBL4079877;Rattus norvegicus;CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C\C=C\C=C\1C;0.1257
CHEMBL4079746;Rattus norvegicus;N#CCN1CCC(n2c(=O)cnc3cnc4ccc(-c5ccc(N)nc5)cc4c32)CC1;4.473
CHEMBL4079638;Rattus norvegicus;CCn1nccc1S(=O)(=O)N1CCC2=Cc3c(cnn3-c3ccc(F)cc3)C[C@]2(C(=O)c2cc(C(F)(F)F)ccn2)C1;0.511
CHEMBL4079112;Rattus norvegicus;[2H]C([2H])([2H])Oc1ccc(-n2nc3c4ccc(OC([2H])([2H])[2H])cc4[nH]cc-3c2=O)cc1;3.412
CHEMBL4079102;Rattus norvegicus;CC1=CCC[C@H]1NC(=O)Nc1ccc(Cl)c(S(=O)(=O)C(C)(C)CF)c1O;0.292
CHEMBL4079093;Rattus norvegicus;Cl.O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)Oc1ccc(-c2ccccc2)cc1;0.054
CHEMBL4079081;Mus musculus;CC(=O)NC[C@@H]1OC(=O)N2c3cc(F)c(C4=CCN(C(=O)CO)CC4)cc3OC[C@@H]12;30.0
CHEMBL4079040;Mus musculus;COc1ccc(C2(C)CCCc3nc(SCc4c(F)cc(OCCOCCOCCN(C)C)cc4F)n(-c4ccc(F)cc4)c32)cc1OC;2.893
CHEMBL4078827;Mus musculus;CO[C@H]1C[C@@H](C)C/C(C)=C/[C@@H](CCCSCCO)C(=O)C[C@H](O)[C@@H](C)[C@@H](/C(C)=C/[C@@H]2CC[C@@H](O)[C@H](OC)C2)OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@H]1[C@@H](OC)C[C@H]2C;1.643
CHEMBL4078682;Rattus norvegicus;[2H]C([2H])([2H])Oc1ccc2c3nn(-c4ccc(OC)nc4)c(=O)c-3c[nH]c2c1;1.255
CHEMBL4078667;Rattus norvegicus;CS(=O)(=O)Nc1ccncc1-c1ccc(C#N)c2ccccc12;5.7
CHEMBL4078646;Rattus norvegicus;CC1(C)CC2C(C(N)=O)=C(NC(=O)c3ccnn3COP(=O)([O-])[O-])SC2C(C)(C)O1.[Na+].[Na+];12378.0
CHEMBL4078543;Mus musculus;CC(=O)OC[C@@H]1[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)CN1CCCCCCN(C(=O)NC(C)(C)C)C1CCCCC1;0.463
CHEMBL4078533;Mus musculus;O=c1nc(N2CCC3(CCN(Cc4ccc(Br)cc4)CC3)CC2)sc2c([N+](=O)[O-])cc(C(F)(F)F)cc12;1.682
CHEMBL407848;Rattus norvegicus;Cn1c(C#N)ccc1-c1cc(F)c2c(c1)C(C)(C)C(=O)N2;0.414
CHEMBL4078466;Mus musculus;O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(-c3ccc(F)cc3)cc1)CC2;4.2
CHEMBL4078293;Rattus norvegicus;O=[N+]([O-])c1cn2c(n1)OC[C@H](Oc1ccc(OC(F)(F)F)cc1)C2;5.2
CHEMBL4078194;Rattus norvegicus;C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)C(C)C5)cc4OC)nc32)c1.CS(=O)(=O)O;0.1547
CHEMBL4078126;Rattus norvegicus;CCNC(=O)Nc1cc2c(-c3ccnc(C)c3)ccc(CNC(=O)OC)c2cn1;0.287
CHEMBL4078112;Rattus norvegicus;CCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C[C@@H](NC(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)C[C@H]1C(=O)O;2.5
CHEMBL4077972;Mus musculus;COc1ccc(SCc2cnc(SCc3c(F)cc(-c4nn[nH]n4)cc3F)n2-c2ccc(F)cc2)cc1OC;0.0681
CHEMBL4077925;Mus musculus;Cc1[nH]c(C)c(-c2ccc(-c3cccc(C(F)(F)F)c3)nc2)c(=O)c1Cl;2.47
CHEMBL4077841;Rattus norvegicus;O=C(N[C@@H](C(=O)N1CCC[C@H]1C(=O)Nc1nc(-c2ccccc2)cs1)c1ccccc1)c1ccccc1;0.1093
CHEMBL4077758;Rattus norvegicus;C[N+](C)(C)CC(CC(=O)[O-])OC(=O)CCCCC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1;5325.7
CHEMBL4077708;Mus musculus;COc1ccc2c(c1)C(=O)N1CCC[C@H]1c1c(C(=O)N(C)C)ncn1-2;0.691
CHEMBL4077644;Mus musculus;Nc1n[nH]c(N2CCC(N(CCc3ccc(Cl)cc3)Cc3ccccc3Cl)CC2)n1;0.618
CHEMBL4077605;Mus musculus;COc1c(CN2CC3(CC(N4CCC(C)(C(=O)O)CC4)=NO3)C2)cc(C2CC2)c(-c2ccc(F)cc2)c1Cl;0.26
CHEMBL4077555;Rattus norvegicus;C[C@@H]1CN(C(=O)c2nc(Nc3cc(C4CC4)[nH]n3)c3cc(Cl)ccc3n2)CCN1.Cl;0.736
CHEMBL4077247;Rattus norvegicus;CCN(CC)CCCn1c2c(c3ccccc3c1=O)C(=O)C(=O)c1cc(C)oc1-2;0.0337
CHEMBL4077246;Mus musculus;N#Cc1ccc(COc2ccc(C#Cc3ccc(C(F)(F)C(O)(Cn4cnnn4)c4ccc(F)cc4F)nc3)cc2)cc1;2.5
CHEMBL4077225;Rattus norvegicus;Oc1cc(O)cc(/C=C/C23CC(O)(C2)C3)c1;0.942
CHEMBL4077123;Rattus norvegicus;C=CC(=O)Nc1cc(Nc2cc(-c3cccc(NC(=O)c4ccc(C(C)(C)C)cc4)c3C)cn(C)c2=O)ccc1C(=O)N1CCOCC1;0.8974
CHEMBL4077017;Rattus norvegicus;CC(C)(C)C[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](COCc2ccccc2)NC(=O)CN(CCCc2ccc(F)cc2F)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2cscn2)NC1=O;0.097
CHEMBL4076989;Mus musculus;CC(C)CN(CCc1ccc(Cl)cc1)C1CCN(c2nc(N)n[nH]2)CC1;1.86
CHEMBL4076835;Rattus norvegicus;CCc1nc(N)cc(OC)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(C)O2.Cl;0.331
CHEMBL4076600;Mus musculus;CCOC(=O)C1=C(CN2CCOC[C@H]2C(=O)O)NC(c2nccs2)=N[C@H]1c1cccc(F)c1Cl;0.783
CHEMBL4076467;Rattus norvegicus;COc1c(/C=C/c2ccc(NS(C)(=O)=O)cc2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C;0.28
CHEMBL4076398;Rattus norvegicus;Cc1nnc2c(Nc3cccc(CNC(=O)OC(C)(C)C)c3)nc3ccccc3n12;340.0
CHEMBL4076292;Rattus norvegicus;N#Cc1cc(NS(=O)(=O)c2ccc(C(=O)O)cc2)ccc1Oc1ccc(Cl)c(C(F)(F)F)c1;0.49
CHEMBL4075879;Mus musculus;CCOc1ccc(Br)c2c1B(O)O[C@@H]2CN;11.14
CHEMBL4075703;Mus musculus;COc1cc(C2(C)CCCc3nc(SCc4ncccn4)n(-c4ccc(F)cc4)c32)ccc1F;0.913
CHEMBL4075348;Rattus norvegicus;CC1(C)Cc2c(sc(NC(=O)c3ccn[nH]3)c2C(N)=O)C(C)(C)O1;4674.0
CHEMBL4075278;Mus musculus;O=C1CCc2cc(Nc3cc(OC4CCOCC4)c([N+](=O)[O-])cc3Cl)ccc2N1;0.233
CHEMBL4075264;Rattus norvegicus;O=C(Cc1ccc(F)cc1B(O)O)N1CCC(Oc2ccc(C(F)(F)F)cn2)CC1;0.65
CHEMBL4075204;Mus musculus;Cc1ccc(-c2ccc(NC(=O)CN3CCCC4=C3C(=O)N(C)C4=O)nn2)cn1;1.051
CHEMBL4075121;Rattus norvegicus;CN(C/C=C/c1ccc(-c2ccccc2)cc1)Cc1ccc2c(c1)CCO2.Cl;0.04178
CHEMBL4075083;Mus musculus;CC(=O)O.CCN(CC)c1ccc(/C=C/c2ccc3ccccc3[n+]2C)c(O)c1.[I-];1.979
CHEMBL4075036;Rattus norvegicus;Cc1ccc(C(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)cc1NC(=O)C1(c2cc(NCCCN3CCN(C)CC3)ncn2)CC1;61.0
CHEMBL4074883;Rattus norvegicus;O=C(NC1CC1)c1cccc(-c2cccc(-c3cc(Nc4cccc5ncccc45)c4c(n3)CCNC4=O)c2)c1;0.118
CHEMBL4074744;Rattus norvegicus;Cc1cc([C@@H]2CN(C(=O)c3ccc(F)c(Br)c3)CC(F)(F)C2)n2ncnc2n1;0.201
CHEMBL4074557;Mus musculus;Cc1[nH]c(C)c(-c2ccc(-c3ccc(C(F)(F)F)cc3Cl)nc2)c(=O)c1Cl;1.69
CHEMBL4074391;Mus musculus;O=C(O)CCc1cc2cc(Cl)ccc2n1S(=O)(=O)c1ccccc1;14.59
CHEMBL4074262;Rattus norvegicus;CC(c1cc2cc(-c3cnn(C)c3)cnc2cc1F)n1nnc2ncc(-c3cnn(CCO)c3)nc21;0.1346
CHEMBL4074037;Rattus norvegicus;CC(=O)Oc1c(C)c(-c2ccc(N3CCC(F)(F)C3)cc2)nc2cc(F)cc(F)c12;0.61
CHEMBL4073912;Mus musculus;FC(F)(F)c1csc(NC(=S)Nc2ccc3ncnc(Nc4cccc(Cl)c4)c3c2)n1;0.1008
CHEMBL4073758;Rattus norvegicus;CCc1nc(N)cc(C)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(C)O2.Cl;0.529
CHEMBL4073586;Rattus norvegicus;COc1ccc2c(c1)c(CN1CCN(C)CC1)cn2S(=O)(=O)c1ccc(F)cc1.CS(=O)(=O)O.CS(=O)(=O)O;0.055
CHEMBL4073202;Mus musculus;C[C@@H](COc1cnc(-c2ccc(Oc3cccc(OCC4CC4)c3)cc2)o1)NC(N)=O;1.937
CHEMBL4072916;Mus musculus;Cc1c(Oc2cnc(C(=O)N3CC(C)(O)C3)cn2)ccc2c1B(O)OC2;3.9
CHEMBL4072857;Rattus norvegicus;O=C(NC12CCC(C(=O)O)(CC1)CC2)[C@@H]1NC2(CCCCC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F;8.234
CHEMBL4072731;Rattus norvegicus;Cc1cc(NC(=O)Nc2ccc(-c3ccnc4[nH]nc(C)c34)cc2)ccc1N1CCOCC1;0.656
CHEMBL407229;Rattus norvegicus;CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2OC2CC(C)(NC(=O)OCc3cc(C)c(OC(=O)NCCOCCO)c(C)c3)C(O)C(C)O2)Oc2ccc(cc2Cl)[C@H]1O;54.6
CHEMBL4072240;Mus musculus;N#Cc1c(-c2cccs2)nc(SCc2cccc(-c3nnn[nH]3)c2)[nH]c1=O;0.255
CHEMBL4071864;Rattus norvegicus;CN1C(=O)[C@@H](NC(=O)c2n[nH]c(Cc3ccccc3)n2)COc2ccccc21;810.0
CHEMBL4071757;Rattus norvegicus;Cc1ccc(/C=C/C(=O)N2CCN(c3ccc(C(=O)Nc4ccccc4N)cc3)CC2)cc1;2.509
CHEMBL4071600;Rattus norvegicus;C[C@@H](N[C@H]1CCN(c2ccc(C(=O)NCCCN3CCC(C(=O)O)CC3)cc2)C1)c1cccc2ccccc12;0.048
CHEMBL4071290;Mus musculus;Cc1ccc(Cl)c(COc2ccc(CCC(=O)O)cc2C)c1;3.028
CHEMBL4071212;Mus musculus;N#Cc1c(-c2cccs2)nc(SCc2cccc(CC(=O)O)c2)[nH]c1=O;2.57
CHEMBL4071207;Mus musculus;Cc1c(Oc2cnc(C(=O)NCCO)cn2)ccc2c1B(O)OC2;4.3
CHEMBL4070919;Rattus norvegicus;O=C(c1nccs1)[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCN(S(=O)(=O)c1cccc(C(F)(F)F)c1)C2;0.103
CHEMBL4070727;Rattus norvegicus;CCOc1ccc(Cc2cc([C@]34OC[C@](OC(F)F)(O3)[C@@H](O)[C@H](O)[C@H]4O)ccc2Cl)cc1;0.758
CHEMBL407063;Rattus norvegicus;Cc1ccc(NC(=O)c2cc(F)cc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1;0.039
CHEMBL4070544;Mus musculus;COC(=O)C1=C(CN2CCOC[C@H]2C(=O)O)NC(c2nccs2)=N[C@H]1c1ccc(F)c(F)c1C;0.283
CHEMBL4070442;Rattus norvegicus;C[C@]1(O)CCN(c2nc(N3C[C@H](O)[C@@H](O)C3)cc(C(F)(F)F)c2C#N)C1;2.94
CHEMBL4070284;Rattus norvegicus;CN1CCN(Cc2cn(S(=O)(=O)c3ccc(F)cc3)c3ccccc23)CC1;0.1254
CHEMBL4069991;Mus musculus;Nc1ncnc2c1c(Oc1cccc(Cl)c1)nn2CC1CCNCC1(F)F;1.049
CHEMBL4069833;Rattus norvegicus;CC1(C)Oc2cc(-c3cccc(OC(F)(F)F)c3)ccc2-c2[nH]c(-c3c(F)cccc3Cl)nc21;0.826
CHEMBL4069704;Rattus norvegicus;CCOC(=O)[C@@H]1CC2(CCN(c3cc(O[C@H](c4ccc(Cl)cc4-c4ccccc4)C(F)(F)F)nc(N)n3)CC2)CN1;0.111
CHEMBL4069516;Rattus norvegicus;Cc1cnc(C(=O)[C@]23Cc4cnn(-c5ccc(F)cc5)c4C=C2CCN(S(=O)(=O)c2ccc(F)c(F)c2)C3)s1;0.03
CHEMBL4069243;Rattus norvegicus;COc1c(C#Cc2ccc(NS(C)(=O)=O)cc2)cc(N2CCC(=O)NC2=O)cc1C(C)(C)C;0.06
CHEMBL4069220;Rattus norvegicus;O=[N+]([O-])c1cn2c(n1)O[C@@H](COc1ccc(-c3ccc(F)cc3)nc1)CC2;0.79
CHEMBL4069215;Mus musculus;CC(=O)c1ccc(-n2c(=O)n3n(c2=O)C2C(=CC3)C(C)(C)Oc3cc(O)ccc32)cc1;100.0
CHEMBL4069082;Rattus norvegicus;Cn1ncn(-c2ccc(C(=O)N[C@@H]3CCN(c4ncc(Cl)c5c(N)noc45)C3)c(Cl)c2)c1=O;0.39
CHEMBL4068995;Mus musculus;COc1cc(OC)cc(-n2c(=O)n3n(c2=O)C2C(=CC3)C(C)(C)Oc3cc(O)ccc32)c1;282.0
CHEMBL4068944;Mus musculus;CC(C)CN(CCc1ccc(Br)cc1)C1CCN(c2nc(N)n[nH]2)CC1;6.04
CHEMBL4068892;Rattus norvegicus;CCNC(=O)Nc1cc2c(-c3cc[n+](COP(=O)([O-])O)c(C)c3)ccc(CNC(=O)OC)c2cn1;0.25
CHEMBL4068844;Rattus norvegicus;Cn1ncc(S(=O)(=O)N2CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@]3(C(=O)c3cc(C(F)(F)F)ccn3)C2)n1;0.255
CHEMBL4068611;Rattus norvegicus;Cn1cc(S(=O)(=O)N2CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@]3(C(=O)c3cc(C(F)(F)F)ccn3)C2)cn1;0.262
CHEMBL4068509;Rattus norvegicus;C=CC(=O)N1CCN(CCCn2c(=O)c(-c3c(Cl)c(OC)cc(OC)c3Cl)cc3cnc(NC)nc32)CC1;1.785
CHEMBL4068260;Mus musculus;Nc1n[nH]c(N2CCC(NS(=O)(=O)Cc3ccc(Br)cc3)CC2)n1;3.25
CHEMBL4067927;Rattus norvegicus;CC1(C)Oc2cc(C#Cc3cc(Cl)ccc3F)ccc2-c2[nH]c(-c3c(F)cccc3Cl)nc21;1.176
CHEMBL4067875;Rattus norvegicus;O/N=c1\cc(-c2cc3cccn3cn2)oc2ccc(OCCN3CCOCC3)cc12;0.753
CHEMBL4067831;Rattus norvegicus;CSCCOP(=O)(NCCc1c[nH]c2ccccc12)OC[C@H]1O[C@@H](n2c[n+](CCOc3ccc(Cl)cc3)c3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1O;0.005
CHEMBL4067644;Mus musculus;O=c1nc(N2CCC3(CCN(Cc4cccc(F)c4)CC3)CC2)sc2c([N+](=O)[O-])cc(C(F)(F)F)cc12;0.901
CHEMBL4067502;Rattus norvegicus;Cc1n[nH]c2cc(OCCNC[C@H](O)c3cccc(NS(=O)(=O)C4CCC4)c3)ccc12;0.119
CHEMBL4067429;Rattus norvegicus;CC1=CCC[C@H]1NC(=O)Nc1ccc(Cl)c(S(=O)(=O)[C@@]2(C)CCOC2)c1O;0.452
CHEMBL4067268;Rattus norvegicus;C=CC(=O)Nc1cc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)cc(C(F)(F)F)c1.CS(=O)(=O)O;0.1607
CHEMBL4067185;Rattus norvegicus;C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C[C@@H](NC(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)C[C@H]1C(=O)O;0.26
CHEMBL4067017;Rattus norvegicus;Cc1ccnc(C(=O)[C@]23Cc4cnn(-c5ccc(F)cc5)c4C=C2CCN(S(=O)(=O)c2ccc(F)c(F)c2)C3)c1;0.113
CHEMBL4066961;Mus musculus;COCCCc1ccc2oc(-c3ccc(OC)c(OC)c3)cc2c1;0.944
CHEMBL4066819;Mus musculus;COCCNC(=O)c1ccc(Oc2sc(C(N)=O)c3c2-c2sncc2CC3)cn1;362.4
